,ETL Tstamp Time,Event Name,Event Details
1,2025-12-19 10:00:00,Run Started,"{""Character"": ""Elara the Loom-Walker"", ""Loom_Level"": 8, ""Seed"": ""OS-9912""}"
2,2025-12-19 10:00:10,Node Selected,"{""Node_Level"": 1, ""Type"": ""Shop""}"
3,2025-12-19 10:00:20,Purchase Made,"{""Item"": ""Health Potion"", ""Cost"": 25}"
4,2025-12-19 10:00:30,Health Changed,"{""Current"": 80}"
5,2025-12-19 10:00:40,Level Up,"{""Level"": 1}"
6,2025-12-19 10:00:50,Node Selected,"{""Node_Level"": 2, ""Type"": ""Elite Combat""}"
7,2025-12-19 10:01:00,Combat Started,"{""Enemies"": ['Loom Crawler'], ""Environment"": ""Standard""}"
8,2025-12-19 10:01:10,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
9,2025-12-19 10:01:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
10,2025-12-19 10:01:30,Silk Gained,"{""Amount"": 4, ""Total"": 4}"
11,2025-12-19 10:01:40,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
12,2025-12-19 10:01:50,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Loom Crawler""}"
13,2025-12-19 10:02:00,Silk Gained,"{""Amount"": 2, ""Total"": 6}"
14,2025-12-19 10:02:10,Card Played,"{""Card"": ""Azure Stitch""}"
15,2025-12-19 10:02:20,Silk Gained,"{""Amount"": 1, ""Total"": 7}"
16,2025-12-19 10:02:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
17,2025-12-19 10:02:40,Silk Gained,"{""Amount"": 5, ""Total"": 12}"
18,2025-12-19 10:02:50,Card Played,"{""Card"": ""Azure Stitch""}"
19,2025-12-19 10:03:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 76}"
20,2025-12-19 10:03:10,Turn Ended,"{""Health"": 76}"
21,2025-12-19 10:03:20,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
22,2025-12-19 10:03:30,Card Played,"{""Card"": ""Vantablack Ink""}"
23,2025-12-19 10:03:40,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Loom Crawler""}"
24,2025-12-19 10:03:50,Card Played,"{""Card"": ""Azure Stitch""}"
25,2025-12-19 10:04:00,Card Played,"{""Card"": ""Web Trap""}"
26,2025-12-19 10:04:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Loom Crawler""}"
27,2025-12-19 10:04:20,Card Played,"{""Card"": ""Vantablack Ink""}"
28,2025-12-19 10:04:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 71}"
29,2025-12-19 10:04:40,Turn Ended,"{""Health"": 71}"
30,2025-12-19 10:04:50,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
31,2025-12-19 10:05:00,Card Played,"{""Card"": ""Thread Pull""}"
32,2025-12-19 10:05:10,Card Played,"{""Card"": ""Web Trap""}"
33,2025-12-19 10:05:20,Silk Gained,"{""Amount"": 3, ""Total"": 15}"
34,2025-12-19 10:05:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Loom Crawler""}"
35,2025-12-19 10:05:40,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Loom Crawler""}"
36,2025-12-19 10:05:50,Card Played,"{""Card"": ""Azure Stitch""}"
37,2025-12-19 10:06:00,Card Played,"{""Card"": ""Echoing Step""}"
38,2025-12-19 10:06:10,Silk Gained,"{""Amount"": 3, ""Total"": 18}"
39,2025-12-19 10:06:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
40,2025-12-19 10:06:30,Silk Gained,"{""Amount"": 4, ""Total"": 22}"
41,2025-12-19 10:06:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 66}"
42,2025-12-19 10:06:50,Turn Ended,"{""Health"": 66}"
43,2025-12-19 10:07:00,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
44,2025-12-19 10:07:10,Card Played,"{""Card"": ""Web Trap""}"
45,2025-12-19 10:07:20,Silk Gained,"{""Amount"": 5, ""Total"": 27}"
46,2025-12-19 10:07:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Loom Crawler""}"
47,2025-12-19 10:07:40,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
48,2025-12-19 10:07:50,Card Played,"{""Card"": ""Azure Stitch""}"
49,2025-12-19 10:08:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 1, ""Remaining"": 65}"
50,2025-12-19 10:08:10,Turn Ended,"{""Health"": 65}"
51,2025-12-19 10:08:20,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
52,2025-12-19 10:08:30,Card Played,"{""Card"": ""Azure Stitch""}"
53,2025-12-19 10:08:40,Card Played,"{""Card"": ""Azure Stitch""}"
54,2025-12-19 10:08:50,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Loom Crawler""}"
55,2025-12-19 10:09:00,Silk Gained,"{""Amount"": 2, ""Total"": 29}"
56,2025-12-19 10:09:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Loom Crawler""}"
57,2025-12-19 10:09:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 63}"
58,2025-12-19 10:09:30,Turn Ended,"{""Health"": 63}"
59,2025-12-19 10:09:40,Turn Started,"{""Turn"": 6, ""Energy"": 3}"
60,2025-12-19 10:09:50,Card Played,"{""Card"": ""Web Trap""}"
61,2025-12-19 10:10:00,Silk Gained,"{""Amount"": 3, ""Total"": 32}"
62,2025-12-19 10:10:10,Card Played,"{""Card"": ""Vantablack Ink""}"
63,2025-12-19 10:10:20,Card Played,"{""Card"": ""Web Trap""}"
64,2025-12-19 10:10:30,Silk Gained,"{""Amount"": 5, ""Total"": 37}"
65,2025-12-19 10:10:40,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Loom Crawler""}"
66,2025-12-19 10:10:50,Silk Gained,"{""Amount"": 1, ""Total"": 38}"
67,2025-12-19 10:11:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 58}"
68,2025-12-19 10:11:10,Turn Ended,"{""Health"": 58}"
69,2025-12-19 10:11:20,Turn Started,"{""Turn"": 7, ""Energy"": 3}"
70,2025-12-19 10:11:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
71,2025-12-19 10:11:40,Card Played,"{""Card"": ""Thread Pull""}"
